Best Model,Best Model Forward Features,Best Model Backward Features,Best Model Score
SVM,"(Index(['Q96NB2', 'Q96D96', 'Q01813', 'Q8NCN4', 'Q86TC9', 'Q96FQ6', 'O60701',
       'O15382', 'P31327', 'P05164', 'Q8WUY3', 'P10636', 'Q9HC84', 'Q8N5M9',
       'P04049', 'Q5JWF2', 'P04114', 'A6NKD9', 'Q32P44', 'Q14168'],
      dtype='object'),)","Index(['Q8WWH5', 'Q8NFD5', 'Q8TAE8', 'O60716', 'O14981', 'Q9NVC6', 'O43837',
       'Q01995', 'P20962', 'P53985', 'Q86XP3', 'P27694', 'Q8N5M9', 'P35637',
       'P04114', 'Q69YQ0', 'Q9HC35', 'P54920', 'Q9BRX8', 'Q99707'],
      dtype='object')",0.554176015
SVM,"(Index(['Q9H3U1', 'Q8TAE8', 'Q9H477', 'Q16643', 'P14555', 'P17858', 'Q8TDX7',
       'Q01813', 'Q96ST3', 'Q8NCM8', 'O15382', 'Q9NW13', 'Q9P032', 'Q4KMQ1',
       'Q86UP2', 'Q9C0H9', 'Q8IYS2', 'Q9BQ69', 'Q8N5M9', 'Q9UQ80'],
      dtype='object'),)","Index(['Q9BQE4', 'Q5VSL9', 'Q15063', 'O15269', 'Q9NVC6', 'O43837', 'P17858',
       'P13796', 'Q08211', 'P20962', 'Q13356', 'Q9UHB6', 'Q9NW13', 'Q14676',
       'Q969H8', 'P50416', 'Q8TE68', 'P46926', 'Q8WZA9', 'P61764'],
      dtype='object')",0.654057924
SVM,"(Index(['Q8WUQ7', 'Q8WVQ1', 'Q8N0Z6', 'P08559', 'P19404', 'Q7Z7L1', 'Q6PK04',
       'P05164', 'P50416', 'P31040', 'A4D1S0', 'Q99543', 'Q8IYS2', 'Q8N1G4',
       'Q9UQ80', 'Q14643', 'Q9HC35', 'Q16555', 'Q8IVF2', 'P42684'],
      dtype='object'),)","Index(['Q9Y4H2', 'Q6SPF0', 'Q6P2E9', 'O15357', 'P35221', 'Q8N0Z6', 'P08559',
       'Q9NVC6', 'Q5SQI0', 'O60701', 'P05164', 'Q9P260', 'Q9UI15', 'P31483',
       'Q96CT7', 'P46926', 'Q8N1G4', 'Q9P2E9', 'Q9NQG6', 'P22234'],
      dtype='object')",0.513087628
SVM,"(Index(['Q8WUQ7', 'Q15063', 'Q8N1S5', 'P49006', 'O43837', 'Q9BUH6', 'P53814',
       'Q7Z460', 'P29966', 'Q9P260', 'Q8WUY3', 'Q9NR33', 'P53985', 'Q9GZS1',
       'Q92499', 'Q9Y2S6', 'Q9BZE9', 'P10586', 'Q14643', 'Q9H115'],
      dtype='object'),)","Index(['Q96JP5', 'Q8WUQ7', 'O94826', 'P49006', 'Q01813', 'P53814', 'O43823',
       'Q92817', 'Q9NR33', 'Q9GZS1', 'P05091', 'P09758', 'P22102', 'P82970',
       'P10586', 'P35637', 'Q8NB49', 'Q969Q5', 'Q9Y240', 'Q9H115'],
      dtype='object')",0.573735999
SVM,"(Index(['P58107', 'Q8N1S5', 'P13995', 'Q7Z7L1', 'P13796', 'Q53G44', 'Q9Y277',
       'Q12888', 'Q9H0R6', 'P67809', 'Q14554', 'Q92817', 'Q9BUK6', 'Q9UID3',
       'Q96KM6', 'Q8NB49', 'O14744', 'Q01664', 'Q14643', 'Q8IVF2'],
      dtype='object'),)","Index(['Q14498', 'Q8N1S5', 'P09327', 'P13796', 'Q53G44', 'Q9H0R6', 'Q1ED39',
       'Q14554', 'O95425', 'Q9NW13', 'Q9HCS7', 'P35606', 'P27708', 'Q9UID3',
       'Q86UP2', 'O43795', 'Q9UHB9', 'Q8NB49', 'Q14643', 'P12081'],
      dtype='object')",0.555723122
SVM,"(Index(['Q9H3U1', 'Q8NFD5', 'P14555', 'Q53G44', 'Q8TDL5', 'P05164', 'Q52LJ0',
       'P49458', 'P35232', 'O15020', 'P31483', 'P49257', 'O00273', 'Q8TE68',
       'Q14761', 'P28838', 'O75533', 'P20618', 'P82970', 'Q15833'],
      dtype='object'),)","Index(['Q9BTD8', 'Q9BQE4', 'P59768', 'Q13423', 'Q9NX63', 'O14981', 'P55060',
       'Q86TC9', 'P53814', 'P67809', 'Q7Z6I8', 'Q10471', 'Q13439', 'Q92925',
       'P46379', 'O60231', 'Q9UHI6', 'Q9Y2S6', 'Q8N5M9', 'Q8WZA9'],
      dtype='object')",0.649119028
SVM,"(Index(['P37108', 'P52701', 'P09327', 'P02766', 'O43272', 'Q8WUY3', 'P49458',
       'P53985', 'P50416', 'P10636', 'Q13123', 'Q9Y2S6', 'P39059', 'P82970',
       'P04049', 'Q14195', 'Q9H115', 'P15428', 'Q6PUV4', 'P14317'],
      dtype='object'),)","Index(['O15269', 'Q9NX63', 'Q01831', 'Q5SQI0', 'Q6P1J9', 'Q96FQ6', 'O15382',
       'P80723', 'Q13356', 'Q8WUY3', 'P31483', 'Q9H4A6', 'Q8NB49', 'Q32P44',
       'A7MBM2', 'Q8NFW8', 'Q92922', 'P42684', 'Q92932', 'P14317'],
      dtype='object')",0.590019952
SVM,"(Index(['Q8NFD5', 'Q8IYS1', 'P31350', 'O14981', 'P08559', 'Q9H7E9', 'Q12888',
       'Q9H0R6', 'Q9NW82', 'Q9P032', 'Q08380', 'P19623', 'A6NCS6', 'Q9C0H9',
       'Q92499', 'Q8N1G4', 'P28838', 'P39059', 'Q9BZE9', 'Q5T653'],
      dtype='object'),)","Index(['Q8NFD5', 'P31948', 'Q9H7E9', 'Q53H12', 'Q9UNF0', 'P78362', 'Q1ED39',
       'Q01995', 'O94906', 'O15020', 'P33176', 'Q9NS91', 'O76021', 'Q7Z4V5',
       'P50416', 'Q08380', 'A6NCS6', 'Q9C0H9', 'Q92499', 'P39059'],
      dtype='object')",0.412004579
SVM,"(Index(['P59768', 'P02786', 'Q8TAE8', 'Q14008', 'Q96D96', 'P53618', 'P42858',
       'O43837', 'O43395', 'P67809', 'Q7Z6I8', 'Q9H9Z2', 'P20962', 'Q8WUB8',
       'P62258', 'P49257', 'P09758', 'Q9H4A6', 'O75533', 'P39059'],
      dtype='object'),)","Index(['P59768', 'P30260', 'P02786', 'Q14498', 'Q8N1S5', 'P49006', 'Q12955',
       'O43837', 'Q9H7E9', 'O43395', 'Q86VP6', 'Q96ST3', 'Q8NCM8', 'P67809',
       'P31327', 'Q01995', 'Q9UI15', 'P62258', 'P31040', 'Q86XP3'],
      dtype='object')",0.459914172
XGBoost,"(Index(['O15042', 'P02786', 'Q15063', 'Q14498', 'P26641', 'P53618', 'O95801',
       'P51452', 'Q8IVT2', 'Q9NU22', 'Q7Z460', 'Q13356', 'Q9GZS1', 'Q7Z4V5',
       'P62258', 'P05091', 'Q92925', 'P52758', 'P56182', 'Q9Y2S6'],
      dtype='object'),)","Index(['P37108', 'Q96L91', 'Q01780', 'Q5VSL9', 'O14497', 'Q15042', 'Q6XQN6',
       'Q14980', 'P43304', 'P51452', 'P15923', 'Q8TDL5', 'Q15293', 'Q13356',
       'Q08379', 'Q9NS91', 'Q14676', 'Q7Z4V5', 'Q92925', 'P52758'],
      dtype='object')",0.494703132
SVM,"(Index(['O94826', 'Q96L58', 'Q15149', 'P98172', 'P09327', 'P42858', 'P13995',
       'P55060', 'Q01813', 'Q86TC9', 'Q8TDL5', 'Q96FQ6', 'O95782', 'Q01995',
       'Q7Z460', 'Q9H9Z2', 'Q9UI15', 'Q9HC84', 'Q96KM6', 'Q7Z3J2'],
      dtype='object'),)","Index(['Q96JP5', 'Q96L58', 'Q15149', 'Q96NB2', 'Q8N0Z6', 'P09327', 'Q01813',
       'Q9UNF0', 'Q14554', 'Q8WUB8', 'Q9H6R3', 'Q92667', 'Q9UBI1', 'O75175',
       'Q9NSD9', 'P52758', 'P20618', 'Q5T653', 'P05386', 'P13591'],
      dtype='object')",0.405017054
SVM,"(Index(['P07954', 'Q7Z7L1', 'P55060', 'Q86TC9', 'Q7Z3D6', 'P15923', 'O15382',
       'Q7Z6I8', 'P12270', 'Q01995', 'Q9GZU2', 'Q9P032', 'Q9UI15', 'Q13439',
       'Q5JTZ9', 'Q92667', 'P27694', 'Q8WZA9', 'P04049', 'Q68EM7'],
      dtype='object'),)","Index(['Q14498', 'Q9P1Y5', 'O43837', 'O00468', 'P55060', 'Q9UBQ7', 'Q6P1J9',
       'P15923', 'O15382', 'Q7Z6I8', 'Q9NS91', 'Q9UI15', 'O75175', 'P27694',
       'Q8WZA9', 'Q9NQG6', 'O00339', 'Q9Y240', 'P54920', 'Q68EM7'],
      dtype='object')",0.527598424
SVM,"(Index(['O76031', 'P05154', 'Q9H477', 'P09327', 'Q5SQI0', 'P42858', 'Q9BUH6',
       'Q8TDX7', 'Q14554', 'O43272', 'Q8WUY3', 'Q9NR33', 'Q9UI15', 'Q8TE68',
       'Q9Y2S6', 'Q8N556', 'Q7Z3J2', 'Q9H115', 'Q68EM7', 'Q6PUV4'],
      dtype='object'),)","Index(['Q96C19', 'Q9BR61', 'Q14498', 'Q9UNS1', 'Q99733', 'P18206', 'Q9BUH6',
       'Q8TDX7', 'P51452', 'Q15293', 'P06454', 'Q9NW82', 'Q9UID3', 'P19623',
       'P22102', 'Q92499', 'Q2TAY7', 'Q68EM7', 'Q96GD0', 'P41227'],
      dtype='object')",0.625019977
XGBoost,"(Index(['Q96JP5', 'Q8WWH5', 'P07954', 'O60716', 'Q9H477', 'O95801', 'Q8N1S5',
       'O43837', 'Q9H7E9', 'Q7Z7L1', 'Q12888', 'P55263', 'Q9H6R3', 'Q9NS91',
       'Q9UDT6', 'Q08380', 'P46926', 'O75533', 'Q9BZE9', 'Q8WZA9'],
      dtype='object'),)","Index(['Q96JP5', 'Q8TAE8', 'O60716', 'Q15042', 'P26641', 'Q96D96', 'O95801',
       'Q8N1S5', 'P55060', 'Q12888', 'Q9H0R6', 'Q15293', 'P30038', 'Q7Z6I8',
       'P80723', 'P55263', 'P33176', 'Q9NS91', 'Q14676', 'P52758'],
      dtype='object')",0.626503773
SVM,"(Index(['Q8WWH5', 'P07954', 'P08559', 'Q03252', 'Q9BUH6', 'Q9Y2A7', 'O15020',
       'P78318', 'Q9BY42', 'P05091', 'Q9UKD2', 'Q9Y4K1', 'Q9Y315', 'P22102',
       'O75369', 'P10586', 'Q8TEX9', 'P78371', 'P35637', 'Q7Z3J2'],
      dtype='object'),)","Index(['Q9Y4H2', 'Q8TCS8', 'Q8WWH5', 'P30260', 'P08559', 'Q03252', 'P19404',
       'O00468', 'Q9BUH6', 'P53985', 'Q9BY42', 'Q92925', 'Q9Y315', 'P22102',
       'Q99459', 'Q9H0N5', 'Q8TEX9', 'P35637', 'O60645', 'P54920'],
      dtype='object')",0.678087366
SVM,"(Index(['Q96C19', 'P58107', 'O14981', 'Q99569', 'P13796', 'Q8NCM8', 'O60701',
       'Q1ED39', 'Q14554', 'Q86XP3', 'P28838', 'Q8IUD2', 'O60645', 'O00339',
       'Q69YQ0', 'Q16555', 'Q92879', 'Q96CW5', 'Q9NRV9', 'O14578'],
      dtype='object'),)","Index(['Q13423', 'P53618', 'O14981', 'Q9UNS1', 'P13796', 'Q9Y277', 'Q8NCM8',
       'O60701', 'Q8IVT2', 'Q1ED39', 'Q10471', 'Q8WUM0', 'P22102', 'P33316',
       'Q15833', 'O00339', 'Q69YQ0', 'P54920', 'Q92879', 'Q9NRV9'],
      dtype='object')",0.430631443
SVM,"(Index(['Q96JP5', 'Q9NQP4', 'Q8N0Z6', 'O60716', 'Q9NX63', 'P20810', 'Q9NVA2',
       'P43304', 'Q7Z3D6', 'Q8TDL5', 'P49458', 'O15020', 'O60524', 'Q8TE68',
       'Q02790', 'A6NKD9', 'Q9H115', 'Q86UK7', 'Q96FS4', 'Q9BRX8'],
      dtype='object'),)","Index(['P05154', 'P49006', 'P18206', 'O00468', 'Q12888', 'Q8IVT2', 'P12270',
       'P06454', 'Q9H6R3', 'Q9NS91', 'Q7Z4V5', 'P62258', 'P31040', 'Q86UP2',
       'Q9Y230', 'Q8WZA9', 'O00339', 'Q96CW5', 'P78549', 'Q13813'],
      dtype='object')",0.587182022
SVM,"(Index(['P05154', 'Q9H3U1', 'P98172', 'Q9H477', 'Q9NVC6', 'Q7Z7L1', 'Q12888',
       'Q8NCM8', 'P30038', 'P67809', 'P11586', 'O43272', 'Q9GZU2', 'Q9UI15',
       'P30566', 'Q9Y2S6', 'P39059', 'P61764', 'Q15075', 'A6NKD9'],
      dtype='object'),)","Index(['Q9BQE4', 'Q9Y490', 'Q5VSL9', 'P98172', 'Q9P1Y5', 'Q7Z7L1', 'Q8TDX7',
       'Q7Z3D6', 'O95782', 'Q08357', 'P33176', 'P50416', 'P46379', 'Q92499',
       'Q96KM6', 'Q8N5M9', 'P11388', 'Q01664', 'Q9HC35', 'Q96SY0'],
      dtype='object')",0.469053076
SVM,"(Index(['Q8TCS8', 'Q96L91', 'Q9NQP4', 'O94826', 'Q9GZT9', 'Q96T51', 'Q8TAE8',
       'Q13423', 'O60716', 'P20810', 'P06753', 'O60701', 'O15382', 'Q01995',
       'O15020', 'P33176', 'P31040', 'Q13123', 'Q9NSD9', 'P27694'],
      dtype='object'),)","Index(['Q96L91', 'Q96T51', 'P58107', 'Q9BR61', 'Q8TAE8', 'P31948', 'Q15042',
       'Q6P1J9', 'Q86TC9', 'Q7Z3D6', 'P46821', 'Q01995', 'Q86Y79', 'O15020',
       'Q9NS91', 'Q9NVZ3', 'Q92925', 'Q9NSD9', 'Q9UHI6', 'P20618'],
      dtype='object')",0.60538711
SVM,"(Index(['A6NIH7', 'Q96D53', 'Q9UNF1', 'Q9BUP0', 'Q8N1S5', 'Q03252', 'P06753',
       'P51452', 'Q86VP6', 'Q9NU22', 'Q9UHB6', 'Q9GZU2', 'Q9UHI6', 'P82970',
       'Q8WZA9', 'P78371', 'P04049', 'P35637', 'Q9Y2W6', 'O14744'],
      dtype='object'),)","Index(['Q96L91', 'Q96D53', 'P02786', 'Q96T51', 'Q14498', 'Q99733', 'Q8N1S5',
       'Q9NVC6', 'Q03252', 'Q7Z3D6', 'Q9NW82', 'O15020', 'P33176', 'Q9H6R3',
       'Q969H8', 'Q96CT7', 'Q9UHI6', 'Q8WZA9', 'Q5JWF2', 'O14744'],
      dtype='object')",0.449099985
SVM,"(Index(['Q9UNF1', 'Q01780', 'P58107', 'Q99733', 'P14555', 'Q03252', 'P17858',
       'Q9NU22', 'P20962', 'Q9P260', 'Q9NVM6', 'Q9GZU2', 'Q9P032', 'Q969H8',
       'P50416', 'A4D1S0', 'Q99459', 'Q15785', 'Q8N5M9', 'O60645'],
      dtype='object'),)","Index(['Q9UNF1', 'P31350', 'Q12955', 'P17858', 'Q9Y277', 'O43395', 'P35251',
       'P80723', 'P29966', 'O94906', 'P78318', 'P50416', 'Q9UID3', 'P09758',
       'Q9C0H9', 'O75369', 'Q8N5M9', 'Q92804', 'Q01664', 'P61970'],
      dtype='object')",0.660526504
