"trackName","endDate","endTime","artistName","minutesPlayedinStream","Week of highest charting (from)","Week of highest charting (to)","Streams","Artist","Genre","Weeks Charted","Popularity","Danceability","Energy","Loudness","Speechiness","Acousticness","Liveness","Tempo","minutesPlayed","Valence","Chord"
"AIN'T SHIT",2021-08-01,"21:26","Doja Cat",2.9,2021-07-23,2021-07-30,16126897,"Doja Cat","['dance pop', 'pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",90,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,2.9,0.619,"D#/Eb"
"BAD HABITS",2021-08-07,"13:42","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-07-31,"12:00","Ed Sheeran",1.58,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-10-02,"13:50","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-10-05,"15:27","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-12-09,"09:06","Ed Sheeran",0.02,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-10-01,"08:08","Ed Sheeran",2.37,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-10-01,"16:08","Ed Sheeran",0.04,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-08-06,"12:22","Ed Sheeran",2.53,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-09-15,"00:55","Ed Sheeran",1.92,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-12-19,"19:28","Ed Sheeran",0.03,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-08-28,"22:26","Ed Sheeran",3.35,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-08-28,"22:23","Ed Sheeran",0.03,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-10-13,"02:48","Ed Sheeran",0.02,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-10-03,"23:26","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-10-13,"01:22","Ed Sheeran",1.45,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-12-14,"23:45","Ed Sheeran",0.09,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-09-30,"07:31","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-07-31,"12:05","Ed Sheeran",0.04,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-12-14,"23:47","Ed Sheeran",1.55,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-12-10,"12:38","Ed Sheeran",0.01,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-08-06,"13:21","Ed Sheeran",1.4,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-12-10,"12:35","Ed Sheeran",0.02,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-11-08,"13:35","Ed Sheeran",0.02,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-08-17,"08:59","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-10-04,"21:18","Ed Sheeran",1.66,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-12-21,"10:09","Ed Sheeran",0.32,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-12-02,"18:26","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-12-10,"12:35","Ed Sheeran",0,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-09-30,"03:09","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-09-29,"07:15","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-08-10,"13:56","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-09-15,"01:19","Ed Sheeran",0.34,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-10-02,"11:46","Ed Sheeran",0.06,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-08-19,"13:19","Ed Sheeran",0.44,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-12-26,"21:26","Ed Sheeran",0.22,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
"BAD HABITS",2021-08-20,"13:36","Ed Sheeran",3.85,2021-07-02,2021-07-09,37799456,"Ed Sheeran","['pop', 'uk pop']","2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,3.85,0.591,"B"
