"endTime","artistName","trackName","minutesPlayed"
2021-07-20 16:46:00,"Benny Dayal","DIL TERA (FROM ""INDOO KI JAWANI"")",1.49
2021-07-30 17:11:00,"Smiley","OVER THE TOP (FEAT. DRAKE)",0.6
2021-07-30 17:11:00,"DJ Snake","U ARE MY HIGH",0.12
2021-07-30 17:15:00,"MAX","BUTTERFLIES",3.19
2021-07-30 17:16:00,"One Direction","NIGHT CHANGES",1.01
2021-07-30 17:16:00,"Pritam","KALANK (TITLE TRACK)",0.13
2021-07-30 17:16:00,"Pritam","KALANK (TITLE TRACK)",0.12
2021-07-30 17:21:00,"Pritam","KALANK (TITLE TRACK)",4.89
2021-07-31 11:04:00,"Pritam","KALANK (TITLE TRACK)",4.36
2021-07-31 11:06:00,"Pritam","KALANK (BONUS TRACK)",0.94
2021-07-31 11:58:00,"The Kid LAROI","STAY (WITH JUSTIN BIEBER)",2.36
2021-07-31 12:00:00,"Ed Sheeran","BAD HABITS",1.58
2021-07-31 12:05:00,"Ed Sheeran","BAD HABITS",0.04
2021-07-31 12:05:00,"Eminem","HEADLIGHTS",0.56
2021-07-31 12:05:00,"The Kid LAROI","STAY (WITH JUSTIN BIEBER)",4.51
2021-07-31 12:06:00,"Eminem","LOVE GAME",0.66
2021-07-31 12:10:00,"Mr Eazi","OH MY GAWD (FEAT. NICKI MINAJ & K4MO)",3
2021-07-31 12:11:00,"Major Lazer","QUE CALOR (FEAT. J BALVIN & EL ALFA)",0.22
2021-07-31 12:11:00,"Major Lazer","MAKE IT HOT",0.02
2021-07-31 12:11:00,"Major Lazer","LAY YOUR HEAD ON ME (FEAT. MARCUS MUMFORD)",1.49
2021-07-31 12:11:00,"Major Lazer","LEAN ON",0.01
2021-07-31 12:11:00,"Major Lazer","CAN'T TAKE IT FROM ME (FEAT. SKIP MARLEY)",0.05
2021-07-31 12:12:00,"Rudimental","LET ME LIVE (FEAT. ANNE-MARIE & MR EAZI)",0.02
2021-07-31 12:12:00,"Jus Now","FIRE (SPOTIE) [FEAT. BUSY SIGNAL] [MAJOR LAZER REMIX]",0.02
2021-07-31 12:16:00,"Tropkillaz","LOKO",4.64
2021-07-31 12:20:00,"Sean Paul","TIP PON IT",2.67
2021-07-31 12:23:00,"Major Lazer","LIGHT IT UP - REMIX",1
2021-07-31 12:26:00,"Major Lazer","PARTICULA",2.86
2021-07-31 12:27:00,"French Montana","UNFORGETTABLE (FEAT. SWAE LEE) - MAJOR LAZER REMIX",0.1
2021-07-31 12:27:00,"Major Lazer","LEAN ON - J BALVIN & FARRUKO REMIX",0.05
2021-07-31 12:27:00,"Cashmere Cat","MISS YOU (WITH MAJOR LAZER & TORY LANEZ)",0.06
2021-07-31 12:27:00,"Major Lazer","KNOW NO BETTER",0.04
2021-07-31 12:27:00,"Major Lazer","EN LA CARA - SUA CARA REMIX",0.05
2021-07-31 12:33:00,"Major Lazer","BELIEVER",3.64
2021-07-31 12:48:00,"Major Lazer","WATCH OUT FOR THIS (BUMAYE)",7.92
2021-07-31 12:51:00,"Mike WiLL Made-It","RUNNIN (WITH A$AP ROCKY, A$AP FERG & NICKI MINAJ)",2.19
2021-07-31 12:54:00,"G-Eazy","NO LIMIT REMIX (FEAT. A$AP ROCKY, FRENCH MONTANA, JUICY J & BELLY)",2.13
